,AGREEMENT_RK,AGE,GEN_TITLE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,TARGET
3398,61436485,58,Рабочий,1,1,1,2,0,6000.0,2,2,0
3400,61436511,61,Специалист,1,0,1,3,0,15380.0,2,1,0
3402,61438429,34,Высококвалифиц. специалист,1,0,0,2,2,30000.0,1,0,0
3403,61438860,47,Специалист,1,0,1,2,1,8000.0,3,1,0
3406,61439341,52,Специалист,1,0,1,2,0,15000.0,2,0,1
3408,61439396,32,Специалист,1,0,1,1,1,25000.0,1,0,0
3409,61439588,53,Руководитель высшего звена,1,0,1,2,0,18000.0,3,3,0
3412,61439676,31,Специалист,1,0,1,2,2,9000.0,1,0,1
3413,61439881,63,,0,1,1,2,0,5500.0,2,1,0
3415,61440024,32,Специалист,1,0,1,2,2,4000.0,2,1,0
3417,61440045,54,Руководитель высшего звена,1,0,1,2,0,22000.0,2,2,0
3419,61440048,47,Специалист,1,0,1,2,0,7200.0,2,2,0
3421,61440336,39,Специалист,1,0,1,1,0,4000.0,2,2,0
3423,61440737,44,Специалист,1,0,1,1,1,8000.0,2,2,0
3425,61440770,53,Рабочий,1,0,0,0,0,6500.0,2,2,0
3427,61440796,45,Специалист,1,0,0,1,1,30000.0,1,0,1
3428,61440848,46,Специалист,1,0,1,0,0,4300.0,2,1,0
3430,61441019,58,Специалист,1,0,0,2,0,5000.0,2,1,0
3432,61441155,40,Специалист,1,0,1,0,0,11000.0,2,1,0
3434,61441181,56,Специалист,1,0,1,3,0,10000.0,2,2,1
3436,61441213,34,Специалист,1,0,1,2,2,10000.0,2,1,0
3438,61441330,55,Специалист,1,0,1,2,0,6000.0,2,2,0
3440,61441414,39,Специалист,1,0,1,2,1,20000.0,2,1,0
3442,61441424,56,Специалист,1,0,1,2,0,10000.0,2,0,0
3444,61441570,45,Руководитель среднего звена,1,0,1,2,0,5000.0,1,0,0
3445,61441610,38,Специалист,1,0,1,1,0,12000.0,3,2,0
3448,61441877,58,Специалист,1,1,1,0,0,7000.0,3,3,0
3451,61441923,37,Специалист,1,0,1,1,0,12000.0,1,0,0
3452,61442128,48,Специалист,1,0,1,1,1,6000.0,2,1,0
3454,61442133,37,Специалист,1,0,1,0,0,26000.0,1,0,0
3455,61442775,57,Специалист,1,0,1,1,0,35000.0,1,0,0
3456,61443022,56,,0,1,1,3,0,12000.0,1,0,0
3457,61443407,46,Другое,1,0,1,0,0,7500.0,1,0,0
3458,61443412,30,Специалист,1,0,0,0,0,16000.0,2,1,0
3460,61443614,35,Руководитель высшего звена,1,0,0,2,2,15000.0,1,0,0
3461,61443673,28,Специалист,1,0,1,1,1,7000.0,2,2,0
3463,61444280,25,Специалист,1,0,0,0,0,15000.0,1,0,0
3464,61444509,41,Индивидуальный предприниматель,1,0,0,0,0,35000.0,2,2,0
3466,61444850,37,Специалист,1,0,0,2,2,15000.0,3,3,0
3469,61445138,59,,0,1,1,0,0,5500.0,2,1,0
3471,61445636,25,Высококвалифиц. специалист,1,0,0,0,0,16000.0,1,0,0
3472,61445689,36,Рабочий,1,0,1,1,1,8000.0,1,1,1
3473,61445743,51,Специалист,1,0,1,2,0,5000.0,2,1,0
3475,61446245,46,Специалист,1,0,1,1,1,15000.0,2,1,0
3477,61446436,55,Специалист,1,0,1,2,0,7000.0,2,1,1
3479,61446644,57,,0,1,1,2,0,4000.0,2,2,0
3481,61446686,48,Рабочий,1,0,1,1,0,5000.0,2,2,0
3483,61446887,58,Специалист,1,0,1,1,1,11000.0,2,1,0
3485,61447162,50,Рабочий,1,0,1,0,1,7000.0,3,2,0
3488,61447231,36,Служащий,1,0,1,1,1,7000.0,2,0,0
3490,61447237,42,Рабочий,1,0,1,1,1,8500.0,1,0,0
3491,61447452,46,Рабочий,1,0,1,0,0,3700.0,1,1,0
3492,61447645,33,Служащий,1,0,0,2,2,25000.0,1,0,0
3493,61447756,62,,0,1,1,0,0,6000.0,1,0,0
3494,61447759,31,Специалист,1,0,0,0,0,10000.0,1,0,0
3495,61447866,36,Руководитель среднего звена,1,0,0,1,1,12600.0,3,2,0
3498,61448047,38,Руководитель среднего звена,1,0,1,2,0,10000.0,2,2,0
3500,61448568,54,Специалист,1,0,0,1,0,10000.0,2,1,0
3502,61448628,52,Специалист,1,0,1,1,0,17000.0,1,0,0
3503,61448744,30,Другое,1,0,0,0,0,20000.0,1,0,1
3504,61448884,39,Служащий,1,0,1,1,1,12000.0,1,0,0
3505,61449470,30,Специалист,1,0,1,1,0,5000.0,1,0,0
3506,61449543,62,,0,1,1,0,0,6000.0,2,1,0
3508,61449583,59,Специалист,1,0,0,1,0,20000.0,1,0,0
3509,61449609,34,Руководитель высшего звена,1,0,0,1,1,6500.0,2,1,0
3511,61449625,27,Специалист,1,0,1,0,0,15000.0,1,0,0
3512,61449676,34,Специалист,1,0,0,3,3,20000.0,1,1,1
3513,61449696,39,Рабочий,1,0,0,2,2,10000.0,1,0,1
3514,61449957,33,Служащий,1,0,1,1,1,6000.0,1,0,0
3515,61450123,35,Высококвалифиц. специалист,1,0,1,1,1,7900.0,1,0,0
3516,61450365,50,Специалист,1,0,0,3,0,13600.0,2,1,0
3518,61450390,55,Рабочий,1,0,1,2,0,7000.0,1,0,0
3519,61450396,23,Специалист,1,0,0,1,1,22000.0,1,1,0
3520,61450589,39,Специалист,1,0,1,2,2,18000.0,2,2,0
3522,61450615,28,Специалист,1,0,1,0,0,21000.0,2,1,0
3524,61450647,46,Высококвалифиц. специалист,1,0,1,2,1,10000.0,2,2,0
3526,61450803,36,Работник сферы услуг,1,0,1,0,0,8000.0,1,0,0
3527,61450840,61,,0,1,1,0,0,5500.0,2,1,1
3529,61450958,42,Специалист,1,0,1,1,1,12000.0,2,1,0
3531,61451248,52,,0,1,1,2,0,6000.0,3,2,0
3534,61451426,28,Специалист,1,0,1,1,1,9000.0,1,0,0
3535,61451551,26,Рабочий,1,0,0,0,0,25000.0,1,0,0
3536,61451668,49,Рабочий,1,0,1,1,0,20000.0,1,0,0
3537,61451918,46,Руководитель высшего звена,1,0,0,2,1,18000.0,1,1,0
3538,61451958,41,Специалист,1,0,1,1,1,10000.0,2,2,0
3540,61452609,57,Специалист,1,1,1,2,0,15000.0,2,2,0
3542,61452783,33,Служащий,1,0,1,1,1,10000.0,1,0,1
3543,61452997,59,Рабочий,1,0,0,0,0,6000.0,2,2,0
3545,61453006,51,Специалист,1,0,0,1,1,7000.0,2,2,0
3547,61453010,27,Рабочий,1,0,0,0,0,10000.0,1,0,1
3548,61453074,63,,0,1,0,4,0,4000.0,2,1,0
3550,61453383,33,Специалист,1,0,1,2,2,16000.0,1,0,0
3551,61453461,37,Специалист,1,0,1,0,0,20000.0,2,2,0
3553,61453733,28,Специалист,1,0,1,1,1,12000.0,3,2,0
3556,61453912,47,Специалист,1,0,1,3,1,22000.0,2,2,0
3558,61454041,63,,0,1,0,2,0,6200.0,2,1,0
3560,61454441,53,Специалист,1,0,1,0,0,3000.0,2,2,0
3562,61454817,25,Специалист,1,0,0,0,0,20000.0,2,1,1
3564,61454914,47,Специалист,1,0,1,1,0,7000.0,2,1,0
3566,61454933,49,Специалист,1,0,1,1,1,6500.0,1,0,0
3567,61455095,47,Руководитель среднего звена,1,0,0,0,0,20000.0,2,2,0
3569,61455258,36,Специалист,1,0,1,2,2,22000.0,2,2,0
3571,61455322,34,Специалист,1,0,1,0,0,19000.0,1,1,0
3572,61455341,27,Высококвалифиц. специалист,1,0,1,1,0,9500.0,1,0,0
3573,61455891,32,Специалист,1,0,1,2,2,18000.0,2,0,0
3575,61455892,35,Специалист,1,0,1,2,2,7800.0,2,2,0
3577,61456230,35,Специалист,1,0,1,1,1,12000.0,2,2,0
3579,61456714,50,Специалист,1,0,1,2,0,11000.0,2,2,0
3581,61456826,58,,0,1,1,0,0,6500.0,2,2,0
3583,61456831,45,Специалист,1,0,1,1,0,4500.0,2,2,0
3585,61457005,45,Специалист,1,0,0,1,1,15000.0,2,1,0
3587,61457063,57,,0,1,1,3,0,4800.0,2,2,0
3589,61457214,50,,0,1,1,3,2,6000.0,2,0,0
3591,61457282,34,Специалист,1,0,1,1,1,20000.0,1,0,0
3592,61457358,50,Специалист,1,0,1,1,1,10000.0,2,2,0
3594,61457539,28,Работник сферы услуг,1,0,0,0,0,18000.0,1,1,0
3595,61457594,32,Специалист,1,0,1,1,1,15000.0,2,1,0
3597,61457631,34,Специалист,1,0,1,0,0,25000.0,1,0,0
3598,61457915,50,Специалист,1,0,1,0,0,5000.0,3,1,0
3601,61457983,39,Руководитель высшего звена,1,0,1,3,2,15000.0,2,1,0
3603,61458065,50,Руководитель среднего звена,1,0,1,3,1,16000.0,2,1,0
3605,61458233,60,,0,1,1,2,0,7000.0,1,0,0
3606,61458342,39,Специалист,1,0,1,1,1,5000.0,2,2,0
3608,61458373,43,Специалист,1,0,1,1,1,20000.0,2,1,0
3610,61458379,25,Специалист,1,0,1,1,1,15000.0,3,1,0
3613,61458455,34,Руководитель среднего звена,1,0,1,0,0,15000.0,2,1,0
3615,61458695,57,Специалист,1,1,1,0,0,20000.0,2,2,0
3617,61458747,46,Руководитель среднего звена,1,0,1,1,1,18000.0,2,2,1
3619,61459048,46,Рабочий,1,0,1,0,0,8000.0,1,0,0
3620,61459050,64,,0,1,1,0,0,5000.0,1,0,0
3621,61459446,64,,0,1,1,0,0,6500.0,2,1,0
3623,61459541,57,Рабочий,1,1,1,1,0,18000.0,1,0,0
3624,61459999,35,Специалист,1,0,0,4,4,9000.0,3,2,0
3627,61460211,37,Специалист,1,0,1,2,2,15000.0,2,1,0
3629,61460250,41,Специалист,1,0,1,3,1,8500.0,3,2,1
3632,61460295,50,Рабочий,1,0,0,0,0,15000.0,1,1,0
3633,61460402,61,Служащий,1,0,1,0,0,10000.0,2,2,0
3635,61460444,22,Рабочий,1,0,0,0,0,11000.0,1,0,1
3636,61460472,40,Специалист,1,0,1,2,2,13000.0,2,2,0
3638,61460505,64,,0,1,1,0,0,11000.0,2,2,1
3640,61460590,53,,0,1,0,0,0,6700.0,3,2,0
3643,61460707,28,Специалист,1,0,1,0,0,16700.0,1,1,0
3644,61460766,54,Специалист,1,0,1,2,0,30000.0,1,1,0
3645,61460928,48,Руководитель высшего звена,1,0,1,2,0,20000.0,1,0,0
3646,61460995,28,Высококвалифиц. специалист,1,0,0,0,0,12000.0,1,0,1
3647,61461068,37,Специалист,1,0,1,1,1,7000.0,2,2,0
3649,61461238,45,Специалист,1,0,1,0,0,8200.0,2,2,0
3651,61461386,38,Рабочий,1,0,1,0,0,6000.0,1,0,0
3652,61461484,64,,0,1,1,0,0,6000.0,2,1,0
3654,61461540,56,Специалист,1,0,1,0,0,8000.0,2,2,0
3656,61461576,37,Специалист,1,0,1,1,1,15000.0,2,2,0
3658,61461608,43,Специалист,1,0,1,1,1,15000.0,1,1,0
3659,61461631,34,Рабочий,1,0,1,2,2,8000.0,1,0,0
3660,61461808,25,Рабочий,1,0,0,1,0,9000.0,1,0,0
3661,61462160,44,Рабочий,1,0,0,1,1,9000.0,1,0,0
3662,61462176,42,Руководитель среднего звена,1,0,1,1,1,9800.0,2,1,0
3664,61462263,31,Руководитель высшего звена,1,0,0,1,1,27000.0,1,1,0
3665,61462378,33,Специалист,1,0,0,0,0,40000.0,1,0,0
3666,61462400,44,Рабочий,1,0,1,2,0,7000.0,1,1,1
3667,61462648,31,Служащий,1,0,0,1,1,17000.0,2,0,0
3669,61462829,52,Специалист,1,0,0,2,0,10000.0,2,2,0
3671,61462874,57,Специалист,1,1,0,2,0,30000.0,2,2,0
3673,61462902,38,Специалист,1,0,1,3,2,9000.0,3,0,0
3676,61462966,29,Другое,1,0,1,1,1,8000.0,1,0,0
3677,61463909,28,Высококвалифиц. специалист,1,0,0,0,0,20000.0,1,0,0
3678,61463949,37,Специалист,1,0,1,0,0,25000.0,1,0,0
3679,61463988,28,Специалист,1,0,1,0,0,7500.0,1,0,0
3680,61464427,34,Специалист,1,0,1,1,1,28000.0,2,2,0
3682,61464618,34,Специалист,1,0,1,1,1,22000.0,1,0,0
3683,61464774,49,Рабочий,1,0,1,2,1,5000.0,1,0,0
3684,61465479,59,Специалист,1,1,1,3,0,12000.0,3,2,0
3687,61465924,37,Специалист,1,0,1,1,1,15000.0,3,2,0
3690,61466005,36,Руководитель высшего звена,1,0,1,1,1,80000.0,2,1,0
3692,61466214,61,Рабочий,1,0,1,0,0,18000.0,1,0,0
3693,61466439,53,Рабочий,1,0,1,0,0,11000.0,1,0,0
3694,61466543,29,Работник сферы услуг,1,0,0,1,1,10000.0,1,0,0
3695,61466674,39,Специалист,1,0,1,1,1,17000.0,1,0,0
3696,61466724,59,,0,1,1,2,0,3200.0,2,0,0
3698,61466891,57,Рабочий,1,0,0,2,0,25000.0,1,0,0
3699,61466985,23,Рабочий,1,0,0,0,0,10000.0,1,0,0
3700,61467126,53,Специалист,1,0,1,2,0,15000.0,1,0,0
3701,61467291,24,Военнослужащий по контракту,1,0,0,0,1,20000.0,2,2,0
3703,61467324,41,Специалист,1,0,1,0,0,32000.0,1,0,0
3704,61467476,46,,0,1,1,3,2,5050.0,1,0,0
3705,61467586,55,Рабочий,1,0,0,0,0,18000.0,1,0,0
3706,61467625,49,Рабочий,1,0,1,1,0,15000.0,1,0,0
3707,61467727,60,Служащий,1,1,1,0,0,12000.0,1,0,0
3708,61467764,51,Специалист,1,0,1,0,0,9000.0,1,0,0
3709,61467767,30,Другое,1,0,1,1,1,7000.0,1,1,0
3710,61467874,66,Рабочий,1,1,1,0,0,10000.0,1,0,0
3711,61467882,28,Рабочий,1,0,1,3,3,20000.0,1,1,0
3712,61468004,44,Специалист,1,0,1,1,1,25000.0,2,1,0
3714,61468086,32,Специалист,1,0,1,2,2,14000.0,1,0,0
3715,61468104,29,Специалист,1,0,1,2,2,4330.0,1,0,0
3716,61468268,47,Специалист,1,0,1,0,1,10000.0,1,0,0
3717,61468570,38,Специалист,1,0,1,1,1,17000.0,2,1,0
3719,61468658,47,Специалист,1,0,1,1,1,8000.0,2,2,0
3721,61468669,32,Специалист,1,0,1,1,1,10000.0,3,3,0
3724,61468679,54,Специалист,1,0,1,2,1,20000.0,3,2,0
3727,61469044,30,Специалист,1,0,0,2,2,25000.0,2,1,0
3729,61469105,35,Специалист,1,0,0,1,1,35000.0,1,0,0
3730,61469219,39,Специалист,1,0,0,1,1,10000.0,2,1,0
3732,61469497,30,Специалист,1,0,1,0,0,15000.0,1,1,0
3733,61469656,26,Индивидуальный предприниматель,1,0,0,1,1,17000.0,1,0,0
3734,61469679,45,Служащий,1,0,1,1,1,25000.0,1,1,0
3735,61469712,28,Рабочий,1,0,0,0,0,25000.0,1,0,0
3736,61469982,51,Специалист,1,1,1,0,0,9400.0,1,0,0
3737,61470297,29,Рабочий,1,0,1,1,1,9000.0,1,0,0
3738,61470303,38,Специалист,1,0,1,2,2,9000.0,1,1,0
3739,61470586,42,Служащий,1,0,1,0,0,18000.0,1,0,0
3740,61470751,44,Специалист,1,0,1,2,1,15000.0,1,0,0
3741,61471183,57,Специалист,1,1,1,3,0,13000.0,2,2,0
3743,61471412,43,Специалист,1,0,0,2,2,10000.0,2,2,0
3745,61471725,31,Рабочий,1,0,0,1,1,13000.0,1,1,0
3746,61471771,39,Рабочий,1,0,1,2,1,4500.0,1,0,0
3747,61471838,39,Специалист,1,0,1,2,2,8000.0,1,0,0
3748,61471898,41,Специалист,1,0,1,1,1,5500.0,1,0,0
3749,61471939,39,Рабочий,1,0,0,2,2,25000.0,1,1,0
3750,61471940,37,Специалист,1,0,1,0,0,7500.0,1,0,0
3751,61471948,22,Специалист,1,0,0,0,0,10500.0,1,0,0
3752,61515125,45,Руководитель среднего звена,1,0,1,2,1,25000.0,1,0,1
3753,61515252,50,Специалист,1,0,0,0,1,30000.0,1,0,0
3754,61515300,64,,0,1,1,0,0,9000.0,1,0,0
3755,61515607,36,Рабочий,1,0,1,2,2,5800.0,2,0,0
3757,61516240,46,Работник сферы услуг,1,0,1,2,0,5000.0,1,0,0
3758,61516318,59,Специалист,1,0,1,0,0,20000.0,1,0,0
3759,61516354,57,,0,1,0,1,1,10000.0,1,0,1
3760,61516668,50,Специалист,1,0,1,0,0,8500.0,1,0,0
3761,61516681,37,Специалист,1,0,0,0,0,8000.0,1,0,0
3762,61516883,43,Партнер,1,0,0,2,2,25000.0,1,0,1
3763,61517175,37,Специалист,1,0,1,2,2,10000.0,1,0,0
3764,61517192,39,Специалист,1,0,1,1,0,9000.0,1,0,0
3765,61517258,57,Специалист,1,0,1,0,0,20000.0,1,1,1
3766,61517296,54,Служащий,1,0,1,2,0,8000.0,1,0,0
3767,61517342,42,Специалист,1,0,1,2,0,15000.0,1,0,0
3768,61517562,38,Специалист,1,0,1,2,2,8000.0,1,0,0
3769,61517575,53,Работник сферы услуг,1,0,1,2,2,15000.0,1,1,0
3770,61517587,50,Рабочий,1,0,0,3,1,8000.0,1,0,0
3771,61517598,65,Специалист,1,1,1,3,0,15000.0,1,0,0
3772,61517680,56,Рабочий,1,0,0,2,0,5000.0,1,0,0
3773,61517702,23,Специалист,1,0,0,0,0,17000.0,1,0,0
3774,61517887,57,,0,1,1,0,0,6000.0,1,0,0
3775,61517908,47,Руководитель низшего звена,1,0,1,0,0,20000.0,1,0,0
3776,61518068,27,Рабочий,1,0,1,1,1,15000.0,1,0,1
3777,61518163,36,Высококвалифиц. специалист,1,0,0,2,0,30000.0,1,0,0
3778,61518224,45,Рабочий,1,0,0,2,1,12000.0,1,0,0
3779,61518245,56,,0,1,0,1,1,4000.0,1,1,0
3780,61518337,60,Рабочий,1,0,1,0,0,20000.0,1,0,0
3781,61518495,50,Специалист,1,0,0,1,1,10000.0,1,1,0
3782,61518610,37,Служащий,1,0,1,2,2,12000.0,1,0,0
3783,61518638,58,Рабочий,1,0,0,2,1,10000.0,1,0,0
3784,61518872,27,Высококвалифиц. специалист,1,0,1,1,1,15000.0,1,0,0
3785,61519012,51,Высококвалифиц. специалист,1,0,1,2,0,10000.0,1,0,0
3786,61519124,31,Рабочий,1,0,1,2,2,9000.0,1,0,0
3787,61519195,28,Специалист,1,0,1,1,1,10000.0,1,0,0
3788,61519206,32,Служащий,1,0,1,1,1,20000.0,1,0,1
3789,61519472,52,Специалист,1,0,1,3,0,18000.0,1,0,1
3790,61519517,33,Специалист,1,0,1,1,0,20000.0,1,1,0
3791,61519635,52,Специалист,1,0,1,0,0,11000.0,1,0,0
3792,61519854,31,Специалист,1,0,0,2,2,15000.0,1,0,1
3793,61519934,46,,0,1,0,0,0,7000.0,1,0,1
3794,61520062,33,Руководитель низшего звена,1,0,1,1,1,10000.0,1,1,0
3795,61520190,49,Специалист,1,0,0,0,0,8000.0,1,0,0
3796,61520248,34,Служащий,1,0,0,2,2,30000.0,1,0,0
3797,61520376,55,Рабочий,1,0,1,2,0,12000.0,1,1,0
3798,61520384,31,Специалист,1,0,1,1,1,15000.0,1,1,0
3799,61520404,49,Рабочий,1,0,0,1,1,15000.0,1,1,0
3800,61520445,38,Служащий,1,0,1,2,2,25000.0,1,0,0
3801,61520499,51,Специалист,1,1,1,2,0,12500.0,1,0,1
3802,61520525,60,,0,1,1,2,0,7500.0,1,0,0
3803,61520596,37,Служащий,1,0,1,2,2,4500.0,1,0,0
3804,61520787,48,Высококвалифиц. специалист,1,0,1,1,1,10000.0,1,0,0
3805,61520792,35,Руководитель среднего звена,1,0,1,2,2,18000.0,1,1,0
3806,61520810,53,Рабочий,1,0,1,2,0,14000.0,1,0,0
3807,61521008,61,Специалист,1,1,0,0,0,12000.0,1,0,0
3808,61521155,52,Рабочий,1,0,1,0,0,6000.0,1,0,0
3809,61521365,45,Специалист,1,0,1,2,2,5000.0,1,0,0
3810,61521562,35,Рабочий,1,0,0,0,0,10000.0,1,0,0
3811,61521568,29,Руководитель среднего звена,1,0,0,1,1,17000.0,1,1,0
3812,61521743,42,Работник сферы услуг,1,0,1,1,1,5000.0,1,0,0
3813,61521929,48,Специалист,1,0,1,0,0,10000.0,1,0,0
3814,61522027,30,Рабочий,1,0,1,2,2,12000.0,1,0,0
3815,61522129,40,Специалист,1,0,0,2,0,7000.0,1,1,0
3816,61522154,39,Рабочий,1,0,0,1,1,12000.0,1,0,0
3817,61522476,37,Рабочий,1,0,1,2,2,5000.0,1,0,0
3818,61522667,38,Специалист,1,0,1,2,2,6500.0,2,0,0
3820,61522722,28,Работник сферы услуг,1,0,1,0,0,10000.0,1,1,0
3821,61522740,43,Специалист,1,0,0,1,0,15000.0,1,0,0
3822,61522821,55,,0,1,1,1,0,6300.0,2,0,0
3824,61522884,46,Работник сферы услуг,1,0,1,0,0,8000.0,1,0,0
3825,61522910,37,Другое,1,0,1,2,2,14000.0,1,0,0
3826,61523051,45,Специалист,1,0,0,2,2,20000.0,1,0,0
3827,61523109,39,Служащий,1,0,1,3,2,4300.0,1,0,1
3828,61523280,40,Рабочий,1,0,0,2,1,14000.0,1,0,0
3829,61523345,38,Рабочий,1,0,1,1,1,14000.0,1,0,0
3830,61523462,30,Специалист,1,0,1,1,1,7000.0,1,0,0
3831,61523485,58,,0,1,1,0,0,7000.0,2,0,0
3833,61523494,33,Рабочий,1,0,0,0,0,10000.0,1,0,0
3834,61523599,32,Работник сферы услуг,1,0,1,1,1,6500.0,1,1,0
3835,61523744,29,Рабочий,1,0,1,0,0,6000.0,1,0,0
3836,61524100,46,Рабочий,1,0,1,0,0,10000.0,1,0,0
3837,61524375,31,Специалист,1,0,0,1,1,24000.0,1,1,1
3838,61524708,33,Другое,1,0,1,1,1,10000.0,1,0,0
3839,61524939,48,Рабочий,1,0,0,1,1,12000.0,1,0,0
3840,61525191,31,Рабочий,1,0,1,3,3,11000.0,1,0,0
3841,61525837,30,Специалист,1,0,1,1,1,17000.0,1,0,0
3842,61525853,33,Рабочий,1,0,1,2,2,11000.0,2,0,0
3844,61525932,65,,0,1,1,0,0,16000.0,1,0,0
3845,61526204,27,Специалист,1,0,1,0,0,30000.0,1,1,1
3846,61526265,50,Рабочий,1,0,1,3,0,10000.0,1,0,0
3847,61526453,58,Рабочий,1,1,1,2,0,8000.0,1,0,0
3848,61526476,22,Специалист,1,0,0,0,0,13000.0,1,0,1
3849,61526589,24,Служащий,1,0,0,0,0,17000.0,1,1,0
3850,61526744,49,Рабочий,1,0,0,3,1,20000.0,1,1,0
3851,61526771,43,Специалист,1,0,1,1,1,7000.0,1,1,0
3852,61526911,36,Рабочий,1,0,0,1,1,8000.0,1,1,0
3853,61526938,49,Высококвалифиц. специалист,1,0,1,2,1,10000.0,1,0,0
3854,61527012,57,,0,1,1,1,0,3100.0,1,0,0
3855,61527228,59,,0,1,1,0,0,9000.0,1,0,0
3856,61527265,33,Рабочий,1,0,0,2,2,9000.0,1,0,0
3857,61527350,49,Рабочий,1,0,1,2,0,5500.0,1,0,0
3858,61527378,57,,0,1,1,1,0,8300.0,1,0,0
3859,61527538,44,Служащий,1,0,0,2,1,12000.0,1,1,0
3860,61527552,48,Специалист,1,0,1,0,0,10000.0,1,1,0
3861,61527586,44,Руководитель среднего звена,1,0,0,1,0,11000.0,1,1,0
3862,61527612,27,Специалист,1,0,1,1,1,15000.0,1,0,0
3863,61527624,58,Рабочий,1,1,0,1,0,20000.0,1,0,0
3864,61527648,45,Рабочий,1,0,1,2,2,5000.0,1,0,0
3865,61527649,52,Рабочий,1,0,1,0,0,9100.0,1,0,0
3866,61527749,29,Рабочий,1,0,1,1,1,10000.0,1,0,0
3867,61528461,50,Работник сферы услуг,1,0,1,0,0,18000.0,1,0,0
3868,61528627,51,Специалист,1,0,1,2,0,20000.0,1,0,0
3869,61528707,44,Рабочий,1,0,1,2,2,9000.0,1,0,1
3870,61528751,24,Рабочий,1,0,0,1,1,10000.0,1,0,0
3871,61528823,22,Рабочий,1,0,0,0,0,10000.0,2,0,0
3873,61528831,52,Работник сферы услуг,1,0,0,0,0,25000.0,1,0,0
3874,61528965,31,Рабочий,1,0,1,0,0,8000.0,1,0,0
3875,61529054,32,Специалист,1,0,1,1,1,8000.0,1,0,0
3876,61529058,36,Специалист,1,0,1,2,2,5000.0,1,0,0
3877,61529334,56,Специалист,1,0,0,0,0,20000.0,1,0,0
3878,61529377,25,Специалист,1,0,1,1,1,12000.0,1,0,1
3879,61529397,52,Специалист,1,0,1,2,0,10000.0,1,0,0
3880,61529470,27,Рабочий,1,0,1,1,1,13000.0,1,0,0
3881,61529492,36,Специалист,1,0,0,0,0,67000.0,1,1,1
3882,61529841,31,Рабочий,1,0,1,0,0,7000.0,1,0,0
3883,61529878,52,,0,1,1,0,0,10000.0,1,1,0
3884,61529947,23,Рабочий,1,0,0,0,0,15000.0,1,1,0
3885,61530013,56,Работник сферы услуг,1,1,1,3,0,10000.0,1,0,1
3886,61530018,49,Служащий,1,0,1,1,1,9000.0,1,1,0
3887,61530063,59,,0,1,1,0,0,8000.0,1,1,0
3888,61530126,40,Рабочий,1,0,1,0,0,8000.0,1,0,0
3889,61530444,36,Руководитель низшего звена,1,0,1,0,0,4300.0,1,0,0
3890,61530550,31,Специалист,1,0,0,0,0,25000.0,1,1,1
3891,61530799,57,Специалист,1,0,1,0,0,18000.0,1,1,0
3892,61530920,45,Специалист,1,0,0,2,2,25000.0,1,1,0
3893,61531179,26,Специалист,1,0,0,0,0,10000.0,1,0,0
3894,61531252,56,,0,1,1,0,0,7000.0,1,0,0
3895,61531312,36,Рабочий,1,0,0,2,2,12000.0,1,0,0
3896,61531441,48,Специалист,1,0,0,0,0,20000.0,1,0,0
3897,61531511,49,Служащий,1,0,1,0,0,25000.0,1,0,0
3898,61531571,52,Специалист,1,0,1,1,1,22000.0,2,1,0
3900,61531631,53,Служащий,1,0,1,2,0,11000.0,1,0,0
3901,61531639,34,Рабочий,1,0,1,2,2,25000.0,1,0,0
3902,61531728,45,Специалист,1,0,0,1,0,25000.0,1,1,0
3903,61531773,63,Специалист,1,1,0,2,0,9400.0,1,1,0
3904,61532019,35,Служащий,1,0,1,2,2,5500.0,1,0,0
3905,61532082,44,Рабочий,1,0,1,2,1,12000.0,1,0,0
3906,61532226,57,Рабочий,1,0,0,3,0,10000.0,1,0,0
3907,61532341,25,Рабочий,1,0,0,0,0,15000.0,1,0,1
3908,61532414,33,Рабочий,1,0,1,2,2,25000.0,1,1,1
3909,61532469,36,Рабочий,1,0,1,0,0,6000.0,1,0,0
3910,61532595,31,Высококвалифиц. специалист,1,0,1,0,0,7000.0,1,0,0
3911,61532609,50,Рабочий,1,0,0,1,1,15000.0,1,0,0
3912,61532641,57,Специалист,1,1,1,0,0,30000.0,1,1,0
3913,61533000,45,Специалист,1,0,0,2,2,40000.0,1,0,0
3914,61533072,28,Высококвалифиц. специалист,1,0,0,0,0,9000.0,1,0,1
3915,61533147,53,Рабочий,1,0,1,0,0,13000.0,1,0,0
3916,61533148,43,Рабочий,1,0,1,2,0,9000.0,1,1,0
3917,61533225,38,Специалист,1,0,0,0,0,20000.0,1,0,0
3918,61533454,35,Индивидуальный предприниматель,1,0,0,0,0,30000.0,1,1,0
3919,61533640,33,Высококвалифиц. специалист,1,0,1,1,1,11000.0,1,0,1
3920,61533805,31,Специалист,1,0,1,2,2,10000.0,2,2,0
3922,61533937,32,Работник сферы услуг,1,0,1,1,1,8500.0,1,0,0
3923,61533982,43,Специалист,1,0,1,2,0,25000.0,1,0,0
3924,61534023,27,Рабочий,1,0,0,0,1,15000.0,1,0,0
3925,61534026,28,Военнослужащий по контракту,1,0,0,1,1,24.0,1,0,0
3926,61534141,48,Специалист,1,0,0,1,1,30000.0,1,0,0
